OBJECTID,OBJECTID,Onstreet,Atstreet,x,y,Month,Bridge_ID,DirFrom,LocationID,PkHrVol,Max24HrDay,PkHrDay,PkHrTime,PkHrAMPM,Month2,AWT,Max24HrVol,YearTxt,Year,created_user,created_date,last_edited_user,last_edited_date,GlobalID,x2,y2
39,20,Amiot Dr,Bookbinder Dr,823542.07337958,1042413.85552915,10,,S,20,29,Wed,Fri,2:00,PM,October,170,190,2015,2015,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{390A5860-0F44-48C1-8BD3-DC9BC7707AFC},823542.07337958,1042413.85552915
40,21,Amiot Dr,Marine Ave,827850.66712458,1045881.30331866,10, ,W,21,476,Thu,Wed,5:00,PM,October,4600,4701,2015,2015,,,HY4TCF,45275.9079513889,{F3383DAD-D183-4FFA-B3AA-310A527D9A58},827850.667124581,1045881.30331866
41,21,Amiot Dr,Marine Ave,827850.66712458,1045881.30331866,10,,W,21,476,Thu,Wed,5:00,PM,October,4600,4701,2015,2015,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{C74BB383-1916-4CA5-BCF6-9C6F77FC63AF},827850.667124581,1045881.30331866
42,22,Amiot Dr,Seven Pines Dr,826742.5942095,1045339.63675107,10, ,SW,22,303,Wed,Wed,5:00,PM,October,2710,2862,2015,2015,,,HY4TCF,45275.9079513889,{D844B0F0-136B-417B-AEDA-DF4F4B973BCD},826742.594209496,1045339.63675107
43,22,Amiot Dr,Seven Pines Dr,826742.5942095,1045339.63675107,10,,SW,22,303,Wed,Wed,5:00,PM,October,2710,2862,2015,2015,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{C90AD92D-91C9-416C-ADF0-D8B27F728DF2},826742.594209496,1045339.63675107
44,23,Ashby Rd,Baltimore Ave,851828.92231758,1047673.66456332,8, ,S,23,851,Fri,Fri,4:00,PM,August,8990,9587,2013,2013,,,HY4TCF,45275.9079513889,{A58A25FB-E21F-45F5-879C-BDE0FC45E7D0},851828.922317579,1047673.66456332
45,23,Ashby Rd,Baltimore Ave,851828.92231758,1047673.66456332,3,,S,23,700,Wed,Thurs,0.166666666666667,PM,March,7960,8120,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{C2D2AFA0-45A8-44BD-9585-0485D3F9E10D},851828.922317579,1047673.66456332
46,24,Ashby Rd,Lackland Rd,851221.283441,1042677.13682674,9, ,N,24,1121,Fri,Fri,4:00,PM,September,12220,13031,2013,2013,,,HY4TCF,45275.9079513889,{56ED3FE2-F19A-415A-90B9-9263729A3F60},851221.283440996,1042677.13682674
47,24,Ashby Rd,Lackland Rd,851221.283441,1042677.13682674,4,,N,24,1110,Tue,Thurs,0.166666666666667,PM,April,11980,12510,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{024E2ABC-7826-43F5-B9DD-61083727A67C},851221.283440996,1042677.13682674
48,25,Ashby Rd,Midland Blvd,851582.39459541,1045527.83125657,8, ,N,25,922,Fri,Fri,4:00,PM,August,10080,10638,2013,2013,,,HY4TCF,45275.9079513889,{D1E50805-7F33-4366-AD4A-748DB00202C3},851582.394595411,1045527.83125657
